name,accession_id,collection_date,location,Lineage,Institute
hCoV-19/USA/FL-CDC-STM-5SAZVMJ7F/2022,EPI_ISL_13259382,02/06/2022,North America / USA / Florida,BA.5.6.2,
hCoV-19/Belgium/ULG-26863/2022,EPI_ISL_13478191,20/06/2022,Europe / Belgium / Brussels-Capital Region,BA.5.6.2,
hCoV-19/USA/CA-CDC-STM-FBXX6RWTR/2022,EPI_ISL_13486000,11/06/2022,North America / USA / California,BA.5.6.2,
hCoV-19/Canada/ON-PHL-22-24590-v2/2022,EPI_ISL_13504628,13/06/2022,North America / Canada / Ontario,BA.5.6.2,
hCoV-19/Canada/ON-PHL-22-24591-v2/2022,EPI_ISL_13504743,13/06/2022,North America / Canada / Ontario,BA.5.6.2,
hCoV-19/USA/MD-CDC-QDX37909346/2022,EPI_ISL_13510968,10/06/2022,North America / USA / Maryland,BA.5.6.2,
hCoV-19/Belgium/UZB_5482022062724/2022,EPI_ISL_13532522,26/06/2022,Europe / Belgium / St-Jans-Molenbeek,BA.5.6.2,
hCoV-19/Belgium/ULB-IBC_CV8499043101/2022,EPI_ISL_13533479,18/06/2022,Europe / Belgium / Region Bruxelles-Capitale / Watermael-Boitsfort,BA.5.6.2,
hCoV-19/USA/NC-CDC-LC0712975/2022,EPI_ISL_13542858,14/06/2022,North America / USA / North Carolina,BA.5.6.2,
hCoV-19/USA/NJ-CDC-LC0715470/2022,EPI_ISL_13543898,17/06/2022,North America / USA / New Jersey,BA.5.6.2,
hCoV-19/USA/NJ-CDC-LC0688700/2022,EPI_ISL_13544819,27/05/2022,North America / USA / New Jersey,BA.5.6.2,
hCoV-19/Belgium/ULB-IBC_CV8482640094/2022,EPI_ISL_13570199,24/06/2022,Europe / Belgium / Region Bruxelles-Capitale / Forest,BA.5.6.2,
hCoV-19/Belgium/ULB-IBC_CV8482624132/2022,EPI_ISL_13570254,26/06/2022,Europe / Belgium / Region Bruxelles-Capitale / Uccle,BA.5.6.2,
hCoV-19/USA/IN-CDC-LC0720017/2022,EPI_ISL_13582878,12/06/2022,North America / USA / Indiana,BA.5.6.2,
hCoV-19/USA/CA-CDC-LC0720622/2022,EPI_ISL_13583519,14/06/2022,North America / USA / California,BA.5.6.2,
hCoV-19/USA/FL-CDC-QDX38008909/2022,EPI_ISL_13592002,12/06/2022,North America / USA / Florida,BA.5.6.2,
hCoV-19/USA/FL-CDC-QDX38008911/2022,EPI_ISL_13592138,12/06/2022,North America / USA / Florida,BA.5.6.2,
hCoV-19/USA/TX-HMH-MCoV-102359/2022,EPI_ISL_13625749,22/06/2022,North America / USA / Texas / Houston,BA.5.6.2,
hCoV-19/Belgium/UZA-UA-CV8492427697/2022,EPI_ISL_13637949,25/06/2022,Europe / Belgium / Mol,BA.5.6.2,
hCoV-19/USA/VA-CDC-QDX38089619/2022,EPI_ISL_13643392,14/06/2022,North America / USA / Virginia,BA.5.6.2,
hCoV-19/USA/MD-HP33868-PIDWPJXAQB/2022,EPI_ISL_13644165,13/06/2022,North America / USA / Maryland,BA.5.6.2,
hCoV-19/Luxembourg/LNS1109732/2022,EPI_ISL_13667271,15/06/2022,Europe / Luxembourg,BA.5.6.2,
hCoV-19/Belgium/ULG-27045/2022,EPI_ISL_13672039,23/06/2022,Europe / Belgium / Brussels-Capital Region,BA.5.6.2,
